Invoice,Recency,Frequency,Monetary,Cluster
489870,373,3,162.1,1
489871,373,5,735.7,0
489872,373,22,632.9,0
489873,373,1,10.2,1
489874,373,12,176.6,0
489876,373,18,39.85,0
489877,373,4,368.1,0
489878,373,38,143.11,0
489879,373,44,163.47,0
489880,373,22,380.28000000000003,0
489883,373,27,578.28,0
489884,373,1,3.61,1
489888,373,26,597.4,0
489891,373,6,181.08,0
489892,373,2,39.8,1
489893,373,9,300.1,0
489894,373,27,520.2,0
489895,372,22,371.82,0
489896,372,20,337.93,0
489897,372,13,260.44,0
489900,372,19,287.37,0
489902,372,4,119.10000000000001,1
489904,372,13,203.78,0
489905,372,19,478.7,0
489906,372,4,120.0,1
489907,372,11,202.06,0
489908,372,6,107.33,1
489909,372,16,642.2,0
489910,372,1,144.0,1
489913,372,3,69.6,1
489915,372,2,54.599999999999994,1
489916,372,9,336.0,0
489932,372,6,82.6,1
489935,372,2,181.65,1
489994,372,4,430.9,0
489996,372,5,320.40000000000003,0
489998,372,17,321.65,0
489999,372,7,154.2,0
490000,372,12,143.06,0
490001,372,2,169.5,1
490002,372,28,114.55,0
490003,372,12,317.55,0
490005,372,25,556.75,0
490006,372,19,344.40000000000003,0
490009,372,31,285.09,0
490011,372,43,221.69,0
490012,372,27,763.35,0
490013,372,33,500.55,0
490019,372,15,308.6,0
490020,372,3,37.8,1
490021,372,1,10.2,1
490022,372,3,45.60000000000001,1
490023,372,4,189.15,1
490024,372,49,215.0,0
490030,372,2,58.2,1
490034,372,11,69.82,1
490045,372,22,180.39,0
490046,372,7,228.3,0
490047,372,28,263.85,0
490049,372,1,102.0,1
490050,372,1,13.5,1
490052,372,42,831.0,0
490053,372,17,119.54,0
490054,372,7,277.5,0
490056,372,16,61.12,0
490057,372,20,360.52,0
490058,372,2,47.85,1
490060,372,17,314.22,0
490062,372,8,165.3,0
490063,372,52,210.39,0
490064,372,19,355.59000000000003,0
490066,372,7,372.2,0
490068,372,9,284.3,0
490069,372,5,161.39999999999998,1
490070,372,5,236.25,0
490071,372,19,294.85,0
490072,372,30,194.65,0
490073,372,13,258.1,0
490075,372,4,381.0,0
490077,372,6,115.50999999999999,1
490078,372,29,584.35,0
490079,372,10,160.35,0
490080,372,15,311.7,0
490081,372,20,723.09,0
490082,372,7,337.9,0
490085,372,15,170.06,0
490086,372,1,799.2,0
490088,372,2,17.0,1
490089,372,1,466.20000000000005,1
490090,372,17,45.55,0
490091,372,1,636.0,1
490092,372,23,510.87,0
490094,372,1,851.76,0
490095,372,12,186.36,0
490097,372,36,279.42,0
490101,372,11,338.5,0
490106,372,20,314.37,0
490107,372,8,110.69999999999999,0
490108,372,5,239.68,0
490109,372,20,415.0,0
490110,372,2,30.15,1
490111,372,31,321.21000000000004,0
490112,372,20,313.19,0
490113,372,11,39.2,1
490114,372,22,257.62,0
490115,372,12,342.6,0
490116,372,4,122.39999999999999,1
490118,372,47,317.04,0
490119,372,1,108.75,1
490121,372,32,112.03,0
490124,372,44,319.87,0
490125,372,9,297.05,0
490127,372,33,569.1800000000001,0
490128,372,14,241.8,0
490132,372,12,197.3,0
490134,372,25,151.65,0
490135,372,18,387.87,0
490136,372,41,174.85,0
490137,372,21,160.69,0
490138,372,14,339.78,0
490139,372,13,210.55,0
490140,371,43,407.22,0
490141,371,18,308.75,0
490144,371,18,337.1,0
490147,371,8,510.64,0
490151,371,14,160.39,0
490152,371,29,682.65,0
490154,371,49,290.48,0
490156,371,6,455.36,0
490157,371,1,138.0,1
490158,371,22,508.26,0
490159,371,2,19.5,1
490160,371,1,244.79999999999998,1
490161,371,59,825.94,0
490162,371,26,280.2,0
490163,371,17,141.63,0
490166,371,12,371.85,0
490167,371,8,312.21,0
490171,371,5,29.28,1
490177,371,2,18.0,1
490186,371,1,3.75,1
490192,371,1,8.95,1
490202,371,20,410.0,0
490212,371,12,108.95,0
490214,371,20,319.15,0
490218,371,3,67.67999999999999,1
490219,371,7,155.65,0
490247,371,11,351.3,0
490258,371,1,20.4,1
490266,371,8,231.2,0
490272,371,59,521.38,0
490281,371,16,311.2,0
490282,371,7,107.95,1
490284,371,53,439.46,0
490285,371,7,373.74,0
490286,371,53,762.1,0
490287,371,14,367.1,0
490288,371,3,332.16,0
490289,371,20,273.75,0
490290,371,10,164.03,0
490291,371,38,424.03,0
490293,371,14,137.4,0
490294,371,61,378.96,0
490295,371,17,435.88,0
490297,371,14,694.2,0
490299,371,44,621.22,0
490301,371,9,345.27,0
490303,371,7,106.25,1
490304,371,46,843.01,0
490305,371,33,726.57,0
490308,371,16,194.53,0
490310,371,4,231.90000000000003,0
490311,371,22,307.65000000000003,0
490312,371,61,326.13,0
490313,371,6,137.95,1
490320,371,9,867.89,0
490324,371,2,672.0,0
490326,371,10,149.10000000000002,0
490331,371,59,298.99,0
490340,371,47,630.39,0
490341,371,19,334.65,0
490342,371,4,130.8,1
490344,371,1,18.0,1
490345,371,3,6.7,1
490346,371,16,216.6,0
490347,371,8,109.4,0
490349,371,3,32.25,1
490351,371,4,24.15,1
490352,371,4,11.8,1
490353,371,44,532.28,0
490355,371,4,538.1099999999999,0
490356,371,9,117.13000000000001,0
490359,371,1,59.5,1
490360,371,21,126.8,0
490361,371,14,48.05,1
490362,371,37,220.9,0
490363,370,1,138.24,1
490364,370,6,103.95,1
490365,370,5,351.6,0
490366,370,14,227.25,0
490367,370,2,79.6,1
490368,370,2,159.1,1
490369,370,4,230.2,0
490370,370,26,452.95,0
490371,370,14,233.70999999999998,0
490372,370,15,434.15,0
490373,370,18,502.54,0
490374,370,9,136.75,0
490375,370,20,350.55,0
490376,370,24,796.5500000000001,0
490377,370,1,15.0,1
490378,370,15,224.1,0
490380,370,18,478.74,0
490381,370,7,97.11,1
490382,370,32,760.69,0
490383,370,4,148.3,1
490385,370,5,130.32,1
490386,370,33,549.77,0
490387,370,18,450.84000000000003,0
490388,370,9,146.62,0
490389,370,33,689.5,0
490390,370,8,256.2,0
490391,370,11,304.1,0
490392,370,9,203.32,0
490393,370,19,281.02,0
490394,370,18,870.2800000000001,0
490395,369,13,283.15,0
490396,369,15,269.15,0
490397,369,18,309.1,0
490398,369,29,567.71,0
490399,369,23,441.63,0
490400,369,49,689.9,0
490401,369,13,139.25,0
490404,369,23,188.69,0
490405,369,21,260.65,0
490408,369,15,413.44,0
490430,369,13,253.55,0
490458,369,23,817.4399999999999,0
490463,369,8,305.5,0
490464,369,16,118.25999999999999,0
490466,369,24,183.6,0
490467,369,44,280.94,0
490468,369,12,204.24,0
490470,369,49,242.96,0
490471,369,29,212.13,0
490472,369,30,619.24,0
490473,369,25,204.65,0
490474,369,35,748.42,0
490476,369,3,211.62,1
490477,369,18,533.14,0
490478,369,42,302.5,0
490481,369,2,21.25,1
490482,369,27,289.3,0
490483,369,10,132.4,0
490484,369,4,186.6,1
490485,369,17,125.94,0
490486,369,1,90.0,1
490487,369,11,81.3,0
490488,369,33,647.82,0
490489,369,24,266.19,0
490491,369,6,175.20000000000002,0
490493,369,1,12.75,1
490494,369,55,192.26999999999998,0
490496,369,52,671.56,0
490499,369,21,406.70000000000005,0
490500,369,33,355.13,0
490501,369,32,285.64,0
490502,369,19,101.4,0
490503,369,40,582.12,0
490504,369,25,391.92,0
490505,369,16,98.16,0
490506,369,11,25.46,1
490508,369,18,450.84000000000003,0
490511,369,18,626.6,0
490512,369,51,235.13,0
490514,369,24,137.75,0
490515,369,9,147.4,0
490516,369,18,504.54,0
490517,369,6,21.95,1
490518,369,16,474.32,0
490519,369,13,213.65,0
490521,369,15,235.84,0
490522,369,8,150.4,0
490523,369,5,10.97,1
490524,369,24,436.18,0
490525,369,11,255.00000000000003,0
490526,369,28,533.97,0
490527,369,10,182.01,0
490528,369,26,118.25,0
490529,369,14,48.89,1
490530,369,5,161.8,1
490531,369,15,166.95,0
490533,369,45,378.05,0
490534,369,48,263.68,0
490535,368,18,560.58,0
490536,368,10,221.9,0
490537,368,16,209.41,0
490538,368,18,504.54,0
490539,368,13,346.0,0
490541,368,2,294.79999999999995,1
490542,368,20,716.35,0
490545,368,1,34.0,1
490547,368,12,311.2,0
490548,368,18,504.54,0
490557,368,21,463.0,0
490561,368,1,41.300000000000004,1
490563,368,28,808.12,0
490564,368,11,367.9,0
490566,368,3,14.3,1
490569,368,9,411.20000000000005,0
490577,368,14,187.19,0
490603,368,37,287.49,0
490604,368,8,682.4,0
490605,368,14,191.74,0
490606,368,15,426.0,0
490607,368,10,173.54999999999998,0
490608,368,31,163.77,0
490609,368,46,218.33,0
490610,368,15,211.62,0
490611,368,12,312.65,0
490612,368,41,610.95,0
490613,368,17,224.98,0
490616,368,6,214.79999999999998,0
490618,368,2,44.7,1
490625,368,7,362.6,0
490636,368,44,425.09000000000003,0
490637,368,11,452.15999999999997,0
490638,368,4,147.1,1
490640,368,8,321.00000000000006,0
490641,368,2,51.0,1
490642,368,24,446.4,0
490657,368,27,208.82999999999998,0
490659,368,16,380.84000000000003,0
490665,368,3,76.5,1
490667,368,50,238.85,0
490668,368,6,312.33000000000004,0
490669,368,30,214.17000000000002,0
490670,368,11,143.70000000000002,0
490671,368,1,488.16,1
490672,368,2,660.96,0
490673,368,7,156.5,0
490674,368,14,242.1,0
490675,368,16,696.5400000000001,0
490676,368,17,451.44,0
490677,368,10,151.72,0
490678,368,12,380.65000000000003,0
490679,368,47,379.16,0
490680,368,21,293.35,0
490681,368,44,164.75,0
490682,368,5,285.9,0
490683,368,15,413.00000000000006,0
490684,368,4,74.56,1
490686,368,9,153.28,0
490689,368,18,307.90999999999997,0
490690,368,3,207.9,1
490691,368,1,306.0,1
490692,368,20,195.78,0
490693,368,56,190.47,0
490695,368,16,108.4,0
490697,368,16,378.84000000000003,0
490698,368,1,4.25,1
490699,368,8,20.58,1
490703,368,8,154.2,0
490704,368,3,355.38,0
490705,368,2,204.0,1
490707,368,16,45.9,0
490708,368,13,241.05,0
490709,368,60,198.98000000000002,0
490710,368,5,332.70000000000005,0
490712,368,20,331.40000000000003,0
490714,368,1,4.95,1
490717,368,43,449.95,0
490718,368,21,485.31,0
490720,368,5,357.87,0
490722,368,25,386.39,0
490723,368,1,7.95,1
490724,368,12,716.04,0
490725,368,4,343.44,0
490726,368,3,561.5999999999999,0
490727,368,39,285.35,0
490728,368,27,221.52,0
490733,368,7,412.6,0
490734,368,9,306.55,0
490737,368,15,389.62,0
490738,368,1,25.5,1
490747,368,2,8.92,1
490749,367,10,580.6400000000001,0
490750,367,3,312.96,0
490752,367,5,356.40000000000003,0
490753,367,22,322.65,0
490754,367,20,302.78000000000003,0
490755,367,11,338.34000000000003,0
490757,367,20,425.59000000000003,0
490759,367,1,182.88,1
490760,367,1,10.0,1
490761,367,16,255.04,0
490762,367,13,323.39,0
490764,367,10,306.45,0
490767,367,13,44.32,1
490769,367,3,221.0,1
490770,367,15,135.94,0
490782,367,28,707.93,0
490786,367,3,30.599999999999998,1
490789,367,9,192.54999999999998,0
490796,367,26,870.63,0
490797,367,8,155.7,0
490799,367,4,28.75,1
490800,367,1,7.800000000000001,1
490801,367,2,660.0,0
490802,367,1,19.5,1
490803,367,6,207.32,0
490804,367,33,487.09000000000003,0
490805,367,12,215.0,0
490806,367,2,39.400000000000006,1
490808,367,25,134.04,0
490809,367,3,159.0,1
490810,367,3,259.92,1
490811,367,17,309.7,0
490823,367,10,304.8,0
490834,367,42,564.38,0
490836,367,1,2.9,1
490838,367,3,20.25,1
490846,367,10,129.3,0
490847,367,9,249.64,0
490851,367,10,311.8,0
490855,367,2,363.6,1
490863,367,13,88.05,0
490871,367,22,211.41,0
490881,367,1,10.0,1
490893,367,12,111.24000000000001,0
490899,367,47,792.84,0
490905,367,53,656.85,0
490917,367,12,312.9,0
490920,367,14,109.08,0
490921,367,2,42.300000000000004,1
490922,367,1,114.3,1
490924,367,26,123.1,0
490925,367,14,648.5,0
490926,367,36,250.02,0
490927,367,6,304.20000000000005,0
490928,367,49,404.44,0
490930,367,1,81.12,1
490932,367,1,12.4,1
490936,367,19,366.9,0
490938,367,33,215.3,0
490940,367,1,0.95,1
490941,367,61,644.52,0
490944,367,2,151.2,1
490945,367,15,97.55,0
490948,367,1,15.0,1
490950,367,1,6.35,1
490951,367,4,11.8,1
490952,367,1,0.85,1
490954,367,15,102.82,0
490955,367,2,8.7,1
490958,367,6,328.8,0
490959,367,16,507.9,0
490960,367,1,9.95,1
490961,367,8,194.75,0
490962,367,4,683.14,0
490964,367,51,104.15,0
490966,367,32,436.71,0
490968,367,8,484.0,0
490971,367,9,372.64,0
490972,367,23,728.0500000000001,0
490978,367,34,193.08,0
490981,367,15,313.45,0
490982,367,2,8.82,1
490984,367,9,303.45,0
490989,367,22,462.46,0
490992,367,21,438.74,0
490998,367,14,379.13,0
490999,367,2,24.65,1
491006,367,18,272.5,0
491007,367,13,213.27,0
491008,367,7,191.89000000000001,0
491009,367,23,255.68,0
491010,367,16,318.0,0
491011,367,8,389.99,0
491014,367,27,549.09,0
491024,367,6,383.04,0
491025,367,1,325.44,1
491026,367,1,162.72,1
491033,367,8,328.02000000000004,0
491034,366,10,305.5,0
491035,366,18,295.35,0
491038,366,23,528.9,0
491039,366,5,301.0,0
491042,366,3,14.65,1
491044,366,16,234.38,0
491045,366,6,303.2,0
491048,366,22,519.42,0
491049,366,15,748.9,0
491050,366,21,333.8,0
491051,366,24,408.51,0
491054,366,8,320.2,0
491055,366,9,219.55,0
491057,366,5,77.8,1
491058,366,13,307.95,0
491059,366,2,285.29999999999995,1
491060,366,2,392.40000000000003,1
491061,366,12,233.53000000000003,0
491062,366,3,124.0,1
491063,366,8,203.3,0
491064,366,50,185.9,0
491067,366,4,333.3,0
491068,366,51,700.4,0
491069,366,19,521.0500000000001,0
491070,366,9,383.8,0
491071,366,5,194.10000000000002,0
491072,366,5,15.45,1
491073,366,5,95.75999999999999,1
491074,366,1,23.6,1
491075,366,8,187.8,0
491078,366,21,259.11,0
491079,366,17,588.85,0
491081,366,15,308.0,0
491083,366,41,322.98,0
491085,366,6,130.6,1
491086,366,32,267.26,0
491087,366,2,10.08,1
491088,366,5,12.15,1
491089,366,14,200.23999999999998,0
491090,366,12,351.45,0
491092,366,51,844.12,0
491094,366,1,216.0,1
491095,366,6,135.0,1
491096,366,9,175.95000000000002,0
491097,366,33,338.13,0
491098,366,23,179.78,0
491100,366,4,63.5,1
491101,366,39,298.68,0
491102,366,3,50.55,1
491103,366,9,163.26,0
491105,366,39,212.58,0
491109,366,22,143.36,0
491110,366,2,1.2000000000000002,1
491111,366,36,321.67,0
491112,366,6,174.33,0
491114,366,1,2.95,1
491116,366,13,301.57,0
491119,366,29,218.49999999999997,0
491122,366,21,601.6,0
491123,366,47,380.36,0
491124,366,17,327.38,0
491126,366,21,389.34000000000003,0
491127,366,11,256.2,0
491129,366,2,50.699999999999996,1
491131,366,1,1.7,1
491132,366,7,171.6,0
491133,366,1,480.0,1
491134,366,1,11.25,1
491135,366,1,1.25,1
491136,366,13,343.52,0
491138,366,4,179.85,1
491139,366,11,28.85,1
491143,366,2,476.03999999999996,0
491144,366,19,873.48,0
491145,366,7,135.0,0
491146,366,13,178.98000000000002,0
491147,366,8,34.3,1
491149,365,9,289.92,0
491150,365,6,435.6,0
491151,365,8,661.16,0
491152,365,6,436.8,0
491153,365,16,300.35,0
491154,365,14,289.85,0
491158,365,13,275.73,0
491159,365,4,291.0,0
491160,365,19,377.57,0
491161,365,3,109.35,1
491163,365,8,179.6,0
491164,365,14,33.55,1
491165,365,14,737.7,0
491169,365,1,8.5,1
491170,365,35,328.99,0
491171,365,21,203.85000000000002,0
491172,365,10,730.59,0
491173,365,27,248.49,0
491174,365,1,228.96,1
491175,365,9,347.54,0
491177,365,6,105.78000000000002,1
491178,365,37,390.44,0
491179,365,1,7.95,1
491180,365,32,294.52000000000004,0
491181,365,8,592.2,0
491182,365,8,190.3,0
491184,365,2,139.85000000000002,1
491185,365,33,421.17,0
491187,365,5,97.5,1
491188,365,20,79.7,0
491189,365,1,31.200000000000003,1
491191,365,5,71.78999999999999,1
491192,365,35,509.3,0
491193,365,23,762.98,0
491194,365,11,302.70000000000005,0
491195,365,13,658.5,0
491196,365,2,165.5,1
491197,365,23,126.57,0
491198,365,6,95.55,1
491199,365,23,143.72,0
491200,365,1,165.0,1
491201,365,4,413.1,0
491202,365,3,5.45,1
491203,365,10,580.15,0
491204,365,58,224.35999999999999,0
491207,365,12,105.75999999999999,0
491209,365,49,278.08,0
491210,365,40,785.62,0
491212,365,17,873.61,0
491226,365,15,448.2,0
491235,365,10,307.2,0
491238,365,12,170.45,0
491247,365,12,436.40000000000003,0
491317,365,45,683.91,0
491318,365,2,369.6,1
491319,365,12,181.63,0
491320,365,2,178.2,1
491321,365,59,844.45,0
491340,365,56,517.7,0
491345,365,2,13.5,1
491356,365,14,282.03000000000003,0
491358,365,13,99.60000000000001,0
491368,365,20,164.31,0
491385,365,5,328.7,0
491393,365,2,12.7,1
491394,365,45,404.82,0
491395,365,23,204.26,0
491396,365,37,435.51,0
491397,365,27,155.79,0
491399,365,15,171.5,0
491400,365,22,427.52,0
491401,365,16,218.05,0
491403,365,46,616.53,0
491405,365,1,70.80000000000001,1
491407,365,10,130.62,0
491408,365,7,133.75,0
491421,365,39,208.9,0
491422,365,33,864.8900000000001,0
491424,365,14,177.91,0
491425,364,23,230.0,0
491427,364,55,583.7,0
491429,364,18,375.66,0
491432,364,19,325.64,0
491433,364,7,233.10000000000002,0
491434,364,15,327.32,0
491435,364,49,244.42000000000002,0
491436,364,1,10.14,1
491437,364,6,439.18,0
491438,364,13,375.18,0
491439,364,1,306.0,1
491442,364,1,102.0,1
491443,364,18,574.07,0
491444,364,2,41.89,1
491445,364,23,122.94999999999999,0
491447,364,1,15.9,1
491448,364,28,459.58,0
491450,364,10,634.88,0
491452,364,33,222.05,0
491453,364,16,86.75,0
491454,364,10,218.44,0
491457,364,57,362.93,0
491462,364,13,718.83,0
491463,364,2,7.5,1
491464,364,1,52.800000000000004,1
491465,364,14,350.68,0
491474,364,25,217.34,0
491479,364,38,391.16,0
491498,364,18,209.59,0
491506,364,32,199.68,0
491508,364,8,348.6,0
491516,364,2,51.269999999999996,1
491528,364,37,307.54,0
491554,364,10,198.76999999999998,0
491555,364,21,513.54,0
491570,364,20,811.76,0
491584,364,45,525.34,0
491586,364,4,117.96000000000001,1
491587,364,1,500.0,1
491597,364,1,152.64000000000001,1
491601,364,1,3.9,1
491603,364,25,539.47,0
491607,364,12,289.53000000000003,0
491612,364,17,849.9399999999999,0
491613,364,34,252.04,0
491617,364,5,14.33,1
491625,364,7,615.3,0
491627,364,16,460.3,0
491628,364,3,53.650000000000006,1
491629,364,16,308.81,0
491630,364,58,438.22,0
491631,364,8,160.55,0
491633,364,29,465.42,0
491636,364,20,285.48,0
491637,364,24,638.52,0
491640,364,55,406.12,0
491641,364,4,19.2,1
491644,364,14,100.55,0
491645,364,44,156.14,0
491646,364,13,641.51,0
491647,364,1,15.5,1
491648,362,10,214.09,0
491649,362,4,549.08,0
491651,362,11,356.55,0
491652,362,51,510.36,0
491653,362,13,164.48,0
491654,362,45,469.49,0
491655,362,1,15.5,1
491656,362,28,344.65,0
491657,362,19,190.12,0
491658,362,37,155.06,0
491659,362,24,416.82,0
491660,362,24,152.25,0
491661,362,1,326.4,1
491662,362,49,356.17,0
491663,362,17,90.95,0
491664,362,37,450.71,0
491666,362,23,335.98,0
491667,362,53,120.06,0
491668,362,6,370.2,0
491669,362,25,76.84,0
491670,362,10,650.88,0
491671,362,44,505.13,0
491672,362,14,336.82,0
491673,362,31,126.7,0
491674,362,21,591.48,0
491677,362,1,15.0,1
491678,362,16,300.42,0
491679,362,35,145.06,0
491680,362,2,244.79999999999998,1
491681,362,20,272.4,0
491682,362,1,21.95,1
491683,362,58,361.55,0
491684,362,34,228.8,0
491685,362,1,5.1,1
491686,362,27,452.5,0
491687,362,8,588.4,0
491688,362,39,197.98,0
491690,362,15,511.64000000000004,0
491691,362,33,386.73,0
491692,362,39,856.78,0
491694,362,18,228.34,0
491695,362,32,106.65,0
491696,362,3,56.45,1
491697,362,43,493.37,0
491699,362,18,286.28000000000003,0
491700,362,60,507.65,0
491701,362,35,123.43,0
491702,362,14,411.51,0
491703,362,36,399.79999999999995,0
491704,362,3,65.10000000000001,1
491706,362,1,15.299999999999999,1
491707,362,11,98.25,0
491708,362,1,100.80000000000001,1
491709,362,4,147.99,1
491710,362,15,258.3,0
491711,362,15,313.64,0
491712,362,28,360.51000000000005,0
491713,362,3,545.1,0
491715,362,15,233.42000000000002,0
491716,362,16,217.8,0
491718,362,11,181.51,0
491719,362,51,348.61,0
491720,362,26,261.7,0
491721,362,40,354.29,0
491722,362,15,292.98,0
491724,362,19,124.9,0
491725,361,1,45.0,1
491729,361,13,171.82,0
491730,361,16,252.12,0
491731,361,9,228.6,0
491733,361,7,366.4,0
491735,361,15,225.8,0
491736,361,27,756.51,0
491737,361,4,31.929999999999996,1
491742,361,1,22.5,1
491743,361,9,597.56,0
491744,361,1,22.5,1
491745,361,5,66.75,1
491746,361,27,327.71000000000004,0
491747,361,13,187.70000000000002,0
491748,361,6,319.38,0
491749,361,16,38.28,1
491750,361,34,572.05,0
491751,361,12,196.92000000000002,0
491752,361,11,309.3,0
491753,361,13,348.85,0
491754,361,4,38.66,1
491755,361,8,79.94999999999999,1
491756,361,18,318.36,0
491757,361,1,705.5999999999999,1
491759,361,1,15.0,1
491760,361,4,170.04999999999998,1
491780,361,29,615.22,0
491782,361,8,162.25,0
491784,361,25,675.05,0
491804,361,18,112.64,0
491806,361,1,8.95,1
491807,361,18,164.28,0
491809,361,37,272.02,0
491810,361,19,619.67,0
491811,361,28,290.15,0
491813,361,1,157.5,1
491814,361,23,310.43,0
491815,361,1,177.84,1
491825,361,25,414.36,0
491826,361,7,850.8299999999999,0
491828,361,4,409.2,0
491829,361,1,325.44,1
491831,361,33,137.73,0
491832,361,9,132.51,0
491834,361,29,197.05,0
491835,361,5,22.39,1
491837,361,1,15.0,1
491839,361,6,33.84,1
491840,361,17,129.6,0
491841,361,39,372.38,0
491861,361,26,266.02,0
491868,361,21,431.98,0
491888,361,57,626.0,0
491923,361,16,307.24,0
491924,361,56,700.83,0
491941,361,2,70.80000000000001,1
491949,361,2,53.2,1
491950,361,16,238.05,0
491952,361,4,22.8,1
491954,361,6,88.5,1
491955,361,1,50.400000000000006,1
491956,361,21,381.4,0
491957,361,4,149.5,1
491958,361,3,99.86,1
491959,361,18,111.0,0
491960,361,25,659.4,0
491963,361,6,93.35000000000001,1
491964,361,3,45.300000000000004,1
491965,361,31,497.65000000000003,0
491967,361,42,384.16,0
491979,360,12,891.41,0
491980,360,6,227.72,0
